SUBJECT_NAME,SUBJECT_GROUP,CONDITION_APPEARANCE,SUBJECT_AGE,VALUE
CP001CTA,OLD,DD,65.0,2.748228967976217
AW002AF,YNG,DD,19.0,2.5112340581100967
CP001CTA,OLD,DN,65.0,2.198384613271871
AW002AF,YNG,DN,19.0,2.1792185320396724
AW001CG,YNG,DN,19.0,2.146083186163853
AW001CG,YNG,DD,19.0,1.941228410963482
