SUBJECT_NAME,SUBJECT_GROUP,CONDITION_APPEARANCE,SUBJECT_AGE,VALUE
AW001CG,YNG,DD,19.0,27.508035917248826
AW001CG,YNG,DN,19.0,26.93209554448926
CP001CTA,OLD,DN,65.0,9.05491362024658
AW002AF,YNG,DD,19.0,8.482175361584972
CP001CTA,OLD,DD,65.0,7.406613484492634
AW002AF,YNG,DN,19.0,6.163804378246211
