SUBJECT_NAME,SUBJECT_GROUP,CONDITION_APPEARANCE,SUBJECT_AGE,VALUE
CP001CTA,OLD,DN,65.0,236.0
AW002AF,YNG,DN,19.0,157.2
AW002AF,YNG,DD,19.0,144.0
AW001CG,YNG,DN,19.0,82.0
AW001CG,YNG,DD,19.0,
CP001CTA,OLD,DD,65.0,
