SUBJECT_NAME,SUBJECT_GROUP,CONDITION_APPEARANCE,SUBJECT_AGE,VALUE
AW001CG,YNG,DN,19.0,7.287307400188199
CP001CTA,OLD,DN,65.0,6.787149476005126
AW002AF,YNG,DN,19.0,5.775208331772015
AW002AF,YNG,DD,19.0,4.29088411592488
AW001CG,YNG,DD,19.0,
CP001CTA,OLD,DD,65.0,
