SUBJECT_NAME,SUBJECT_GROUP,CONDITION_APPEARANCE,SUBJECT_AGE,VALUE
CP001CTA,OLD,DD,65.0,216.22222222222223
AW002AF,YNG,DN,19.0,197.3684210526316
AW001CG,YNG,DD,19.0,194.8
CP001CTA,OLD,DN,65.0,160.26315789473685
AW001CG,YNG,DN,19.0,152.16666666666666
AW002AF,YNG,DD,19.0,140.44444444444446
