SUBJECT_NAME,SUBJECT_GROUP,CONDITION_APPEARANCE,SUBJECT_AGE,VALUE
AW002AF,YNG,DN,19.0,386.0
AW002AF,YNG,DD,19.0,320.22222222222223
CP001CTA,OLD,DN,65.0,310.3157894736842
CP001CTA,OLD,DD,65.0,303.1111111111111
AW001CG,YNG,DN,19.0,199.55555555555554
AW001CG,YNG,DD,19.0,195.6
