SUBJECT_NAME,SUBJECT_GROUP,CONDITION_APPEARANCE,SUBJECT_AGE,VALUE
AW002AF,YNG,TD,19.0,305.04
AW002AF,YNG,TN,19.0,260.46153846153845
AW002AF,YNG,TT,19.0,258.9230769230769
MP1,YNG,TD,,257.39130434782606
MP1,YNG,TT,,223.69230769230768
MP1,YNG,TN,,212.0
AW001CG,YNG,TT,19.0,171.66666666666666
AW001CG,YNG,TD,19.0,171.2
AW001CG,YNG,TN,19.0,166.71428571428572
