SUBJECT_NAME,SUBJECT_GROUP,CONDITION_APPEARANCE,SUBJECT_AGE,VALUE
MP1,YNG,TT,,491.0
AW002AF,YNG,TD,19.0,448.2173913043478
MP1,YNG,TN,,424.85714285714283
AW002AF,YNG,TN,19.0,402.7857142857143
AW001CG,YNG,TT,19.0,401.5833333333333
AW002AF,YNG,TT,19.0,364.61538461538464
AW001CG,YNG,TN,19.0,363.7857142857143
AW001CG,YNG,TD,19.0,347.32
MP1,YNG,TD,,334.2173913043478
