SUBJECT_NAME,SUBJECT_GROUP,CONDITION_APPEARANCE,SUBJECT_AGE,VALUE
MP1,YNG,TD,,3.1256527596519432
AW002AF,YNG,TN,19.0,2.6018167972839996
MP1,YNG,TN,,2.291348406871245
MP1,YNG,TT,,2.1759050592296045
AW002AF,YNG,TT,19.0,1.8810109246801336
AW002AF,YNG,TD,19.0,1.776521309243988
AW001CG,YNG,TN,19.0,1.241953564243843
AW001CG,YNG,TT,19.0,1.081012522591861
AW001CG,YNG,TD,19.0,0.9959682403941196
