SUBJECT_NAME,SUBJECT_GROUP,CONDITION_APPEARANCE,SUBJECT_AGE,VALUE
AW002AF,YNG,TN,19.0,212.7
MP1,YNG,TN,,141.25
AW001CG,YNG,TT,19.0,133.66666666666666
MP1,YNG,TT,,132.625
AW002AF,YNG,TT,19.0,130.33333333333334
AW001CG,YNG,TN,19.0,127.8
